idx,question,choice,ground_truth,qn_num
86,A community has created standard-of-care guidelines for ambulatory patients with several common diagnoses. The community's standard of care for patients with asthma is annual pulmonary function testing. Recent analysis of billing records from one clinic in this community shows that only 34% of patients with asthma at the clinic undergo pulmonary function testing. Enacting which of the following procedures is most likely to improve this clinic's adherence to the community's standard of care for patients with asthma? ,"A: Annual chart reviews of patients with asthma and feedback to the physicians, B: Diagnosis-driven reminders in patient charts, C: Placement of flyers in the clinic waiting room that remind patients with asthma to undergo annual pulmonary function testing, D: Pulmonary function testing of all patients examined for respiratory symptoms, E: Pulmonary function testing of patients with asthma at each examination preceded by an exacerbation ",B,2_86
87,"A 27-year-old woman, gravida 1, para 1, comes to the emergency department because of a 1-day history of moderate pain in her right breast. Three weeks ago, she underwent cesarean delivery of a healthy newborn at term because of breech presentation. She is breast-feeding, but the newborn is not latching properly on the right. She has no history of serious illness. Medications are acetaminophen for postoperative pain and a prenatal vitamin. Temperature is 38.9C (102.0F). Examination of the right breast shows a 5 x 2-cm wedge-shaped area of erythema and moderate tenderness. The left breast is normal. Abdominal examination shows a well-healing surgical incision. In addition to beginning antipyretic therapy, which of the following is the most appropriate next step in management? ","A: Application of a breast binder on the right, B: Dicloxacillin therapy, C: Fluconazole therapy, D: Fine-needle aspiration of the erythematous area, E: No further management is indicated ",B,2_87
88,A 12-year-old girl is brought to the office for a well-child examination. She feels well. She has no history of serious illness and receives no medications. Menarche has not yet occurred. She is at the 30th percentile for height and 60th percentile for weight. Examination of the breasts shows no glandular tissue; the areolae follow the skin contours of the chest. There is no pubic hair. The remainder of the examination shows no abnormalities. Which of the following is the most appropriate next step in diagnosis? ,"A: Measurement of serum follicle-stimulating hormone and luteinizing hormone concentrations, B: Measurement of serum growth hormone and thyroxine concentrations, C: MRI of the brain, D: X-ray of the left hand and wrist to determine bone age, E: No additional diagnostic steps are indicated ",E,2_88
89,"A 42-year-old woman comes to the office because of a 2-month history of episodes of light-headedness and loss of consciousness for 10 seconds. The episodes occur two to three times weekly at work. She says her light-headedness resolves after she eats snacks. During this time, she also has had a 9-kg (20-lb) weight gain. She has no history of serious illness and takes no medications. She is 160 cm (5 ft 3 in) tall and weighs 72 kg (160 lb); BMI is 28 kg/m2. Vital signs are within normal limits. Physical examination, including neurologic examination, shows no abnormalities. Serum glucose concentration is 41 mg/dL, serum C peptide concentration is 0.5 ng/mL (N=0.5-2.5), and serum insulin concentration is 80 μIU/mL (N=5Ð20). CT scan of the abdomen is most likely to show which of the following findings? ","A: Duodenal mass with multiple liver metastases, B: Fluid-filled mass between the posterior aspect of the stomach and pancreas, C: Low-density mass in the head of the pancreas obstructing the main duct, D: Vascular mass in the neck of the pancreas, E: No abnormalities ",E,2_89
90,"A hospital with a large intensive care unit (ICU) would like to improve communication among team members who care for patients with complex conditions. Research has shown that team communication is most effective when one clinician is designated as the team leader and assumes responsibility for directing the care. The team leader ensures that all team members share a common understanding of the patient and openly discuss their views about the case. The common understanding includes the patient's diagnosis, prognosis, and care plan. This allows the team to quickly recognize when new data deviate from the expected and then reassess the team's approach to the patient. Which of the following is the most appropriate method for maintaining a common mental model among all team members? ","A: Conduct weekly structured team briefings and daily huddles, B: Educate all team members on protocols for common illnesses, C: Have the team leader discuss the case with each team member individually on a regular basis, D: Maintain a consistent team of intensivists in the ICU, E: Maintain a disease-specific ICU ",A,2_90
91,"A 12-month-old girl is brought to the office by her father because of a 3-day history of fever and mildly decreased appetite and activity. She has not had cough, vomiting, or diarrhea. She receives no medications. Vaccinations are up-to-date. She is at the 35th percentile for height, 50th percentile for weight, and 60th percentile for head circumference. Temperature is 39.2C (102.6F); other vital signs are within normal limits. Examination shows no other abnormalities. A catheter urine sample is obtained, and urinalysis shows 20-30 WBC/hpf and is positive for nitrites. Oral trimethoprim-sulfamethoxazole therapy is begun. The next day, urine culture grows greater than 100,000 colonies/mL of Escherichia coli that is susceptible to trimethoprimsulfamethoxazole. Which of the following is the most appropriate next step in management? ","A: Ciprofloxacin prophylaxis, B: Clindamycin prophylaxis C: CT urography, D: Ultrasonography of the kidneys and bladder, E: Voiding cystourethrography ",D,2_91
92,"A 32-year-old man comes to the office because of a 2-week history of persistent nonproductive cough occurring in short bursts. During the past week, he has had bilateral chest pain with severe coughing. He has vomited several times after coughing vigorously. He has not had shortness of breath or fever. Three weeks ago, he had a runny nose, sneezing, and mild malaise that resolved spontaneously after 1 week. Toward the end of that period, he noticed the onset of cough, which has since worsened. He has no history of serious illness, and his only medication is over-the-counter cough drops. He drinks 24 to 36 oz of beer weekly. He does not smoke cigarettes or use other substances. He is sexually active with one male partner; they use condoms consistently. He is 173 cm (5 ft 8 in) tall and weighs 86 kg (190 lb); BMI is 29 kg/m2. Temperature is 37.0C (98.6F), pulse is 70/min, respirations are 12/min, and blood pressure is 120/80 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 98%. During the examination, the patient coughs several times. There is no sinus tenderness to palpation and no cervical lymphadenopathy. The oropharynx appears normal. Lungs are clear to auscultation. Cardiac examination discloses no abnormalities. Which of the following is the most appropriate pharmacotherapy? ","A: Albuterol, B: Azithromycin, C: Levofloxacin, D: Omeprazole, E: Prednisone ",B,2_92
93,"Patient Information 
Age: 18 years
Gender: F, self-identified 
Race/Ethnicity: unspecified
Site of Care: emergency department
History
Reason for Visit/Chief Concern: ""I'm coughing up green and yellow mucus.""
History of Present Illness:
¥ cystic fibrosis with two to three exacerbations yearly for past 5 years
¥ 3-day history of cough productive of copious amounts of yellow and green sputum
¥ associated with subjective fever, shaking chills, and progressive shortness of breath
¥ symptoms occurred first only with exertion but now occur at rest
¥ also reports sharp left-sided chest pain that she attributes to extended paroxysms of coughing 
¥ symptoms are similar to previous exacerbations
Past Medical History:
¥ cystic fibrosis complicated by bronchiectasis and pancreatic insufficiency
Medications:
¥ pancrelipase
¥ dornase alfa
¥ ivacaftor
¥ albuterol prn for pulmonary symptoms
¥ 3.0% inhaled saline prn for pulmonary symptoms
Allergies:
¥ no known drug allergies
Family History:
¥ brother: age 13 years with cystic fibrosis
Psychosocial History:
¥ does not smoke cigarettes, drink alcoholic beverages, or use other substances
¥ high school student

Physical Examination:
Temp 37.9C (100.2F), Pulse 112/min and regular, Resp 22/min, BP 138/74 mm Hg, O2 Sat 92% on RA, Ht 157 cm (5 ft 2 in), Wt 54kg (118 lb), BMI 22kg/m2

¥ Appearance: in mild respiratory distress; using accessory muscles of respiration; frequent coughing productive of yellow and green sputum
¥ Pulmonary: bilateral diffuse crackles with moderate diffuse expiratory wheezes more prominent in the apices

Diagnostic Studies
Blood 
Hematocrit 42% 
Hemoglobin 13.1 g/dL 
WBC 16,400/mm3
Platelet count 334,000/mm3
¥ portable chest x-ray: bilateral basilar consolidations with increased interstitial markings; no effusions or pneumothorax

Question: In addition to initiating broad-spectrum antibiotic therapy, which of the following is the most appropriate next step in evaluation?","A: CT angiography of the chest, B: Serum immunoglobulin concentrations, C: Spirometry with lung volume measurement, D: Sputum culture, E: Transbronchial lung biopsy",D,2_93
96,"A 14-year-old boy is brought to the office because of a 6-month history of changes in behavior. Two days ago, the patient and his friends were detained by police for trespassing on abandoned property and entering an unoccupied house. No alcohol or other substances were involved. The police officer who brought the patient home reported that there was evidence indicating this had not been the first time the boys entered the property. The mother says her son was polite and close with his parents until 6 months ago when he began socializing with a different group of boys in his class. She says the patient is constantly exchanging text messages with his new friends. The group has inside jokes and nicknames for one another. Every weekend, the patient goes out with his friends and argues with his parents about his curfew. At home, he is irritable and shares few details about his outside activities with his parents. He has no history of serious illness and receives no medications. Examination shows no abnormalities. Urine toxicology screening is negative. Which of the following is the most likely explanation for this patient's behavior? ","A: Adjustment disorder, B: Attention-deficit/hyperactivity disorder, C: Conduct disorder, D: Oppositional defiant disorder, E: Normal development ",E,2_96
98,"A 20-year-old man comes to the office at the end of the summer because of a 2-month history of generalized malaise, fatigue, intermittent cough productive of whitish sputum, and decreased appetite. During this time, he has lost approximately 4 kg (10 lb). The patient previously was on the college track team but now feels winded when he tries to go running. He has a history of childhood asthma. He currently takes no medications. He does not smoke cigarettes, drink alcoholic beverages, or use other substances. He identifies as African American. He has been working at a lumber mill for the summer, feeding logs into a saw. He is 178 cm (5 ft 10 in) tall and weighs 77 kg (170 lb); BMI is 24 kg/m2. Temperature is 37.7C (99.9F), pulse is 78/min, respirations are 20/min, and blood pressure is 114/70 mm Hg. Diffuse crackles are heard bilaterally. The remainder of the examination shows no abnormalities. Chest x-ray shows a reticulonodular pattern that is more prominent in the upper lung fields. Results of pulmonary function tests show a mixed obstructive and restrictive pattern. Which of the following is the most likely diagnosis? ","A: Aspergillosis, B: Asthma recurrence, C: Hypersensitivity pneumonitis, D: Sarcoidosis, E: Silicosis ",C,2_98
99,"A 32-year-old woman is admitted to the hospital because of a 2-year history of intractable seizures. Her boyfriend, who has accompanied her, describes the seizures as episodes of bilateral limb shaking and moving her head from side to side, during which the patient closes her eyes and cries. The episodes last 15 to 20 minutes, and she is intermittently responsive during this time. Trials of phenytoin, carbamazepine, gabapentin, oxcarbazepine, and divalproex have not provided relief of her symptoms. Her current medications are zonisamide and pregabalin. The patient has a history of childhood sexual and physical abuse. Vital signs are within normal limits. Neurologic examination shows no focal findings. The patient undergoes long-term video EEG monitoring, which shows that her seizures are not associated with any EEG changes. Which of the following is the most appropriate next step in management? ","A: Cognitive behavioral therapy, B: Hypnotic therapy, C: Increasing the dosage of pregabalin, D: Psychoanalytic therapy, E: Surgical resection of the epileptogenic focus ",A,2_99
100,"A 2-year-old girl is brought to the clinic by her parents for an initial examination. Medical records show that she has a cleft palate and ventriculoseptal defects that have not been repaired. During the past 18 months, she has had two episodes of pneumonia and at least 10 episodes of otitis media treated with antibiotic therapy. The patient's parents recently adopted her from China. She is at the 10th percentile for length and 5th percentile for weight. Vital signs are within normal limits. Examination shows middle ear effusions bilaterally and a cleft palate. Lungs are clear to auscultation. A grade 3/6 holosystolic murmur is heard on cardiac examination. There is no hepatosplenomegaly. Chest x-ray is shown. A complete blood count is most likely to show which of the following leukocyte findings in this patient? ","A: Eosinophilia, B: Lymphocytosis, C: Lymphopenia, D: Neutropenia, E: Neutrophilia ",C,2_100
101,"A 25-year-old primigravid woman at 28 weeks' gestation comes to the office for a routine prenatal visit. At 18 weeks' gestation, she had vaginal bleeding that resolved spontaneously. At that time, her blood group was determined to be O, Rh-negative and she received Rho(D) immune globulin. She reports good fetal movement. Blood pressure is 120/70 mm Hg. Fetal heart rate is 160/min. Fundal height is 30 cm. The fetus is in a vertex presentation. Hemoglobin concentration is 11 g/dL and hematocrit is 34%. Serum antibody assay is positive; the anti-D titer is too weak to measure. Results of serologic testing for syphilis and HIV antibody testing are negative. Which of the following is the most appropriate next step in management? ","A: Repeat serum anti-D antibody titer, B: Ultrasonography of the pelvis, C: Administration of Rho(D) immune globulin, D: Amniocentesis, E: Induction of labor ",C,2_101
102,"A 5-year-old boy is brought to the office by his parents in July because of a 2-day history of an itchy rash. The rash began as small red bumps on the right forearm and spread to the left cheek and right ankle within the same day. He has not had fever, vomiting, or diarrhea. No other family members have similar symptoms. Medical history is unremarkable and he receives no medications. The family switched to a new brand of bath soap last week. They have three pet cats and one dog. Three days ago, the family attended a picnic at a nearby park. Temperature is 37.0C (98.6F), pulse is 90/min, and respirations are 20/min. The patient is alert and scratching his right forearm. Examination shows mild edema of the left cheek. A photograph of the right forearm is shown. Similar lesions are noted over the left cheek and right ankle. The remainder of the examination shows no abnormalities. Avoidance of which of the following is most likely to have prevented this patient's condition? ","A: Dog, B: Flora, C: Peanut butter, D: Perfumed bath soap, E: Sun ",B,2_102
103,"Patient Information 
Age: 56 years
Gender: F, self-identified
Race/Ethnicity: mixed race (White and Honduran) 
Site of Care: clinic

History
Reason for Visit/Chief Concern: ""I'm tired and I don't feel well."" 
History of Present Illness:
¥ fatigue and malaise for 3 months; tires quickly with physical activity 
¥ early satiety
Past Medical History:
¥ 5-year history of hypertension
¥ 5-year history of hyperlipidemia
Medications:
¥ chlorthalidone ¥ enalapril
¥ atorvastatin Allergies:
¥ no known drug allergies

Physical Examination
Temp 37.5C (99.5F), Pulse 75/min, Resp 14/min, BP 139/78 mm Hg
O2 Sat -, Ht 162 cm (5 ft 4 in), Wt 94 kg (207 lb), BMI 36 kg/m2

¥ HEENT: normal conjunctivae and oropharynx; thyroid gland is normal in size with no mass or tenderness
¥ Pulmonary: clear to auscultation
¥ Cardiac: S1 and S2; no murmur or gallop
¥ Abdominal: nontender; liver edge palpated at the right costal margin with inspiration; dullness to percussion over the fifth to eighth intercostal spaces at the left anterior axillary line

Diagnostic Studies:
Blood
RBC 4.5 million/mm3
Hematocrit 39%
Hemoglobin 13.0 g/dL
MCV 86.7
WBC 
Neutrophils, segmented 83%
 Lymphocytes 2%
Eosinophils 5%
Basophils 4%
Metamyelocytes 3%
Myelocytes 3%

Question: Which of the following is the most likely diagnosis?","A: Acute lymphocytic leukemia, B: Acute myeloid leukemia, C: Chronic lymphocytic leukemia, D: Chronic myeloid leukemia, E: Monoclonal gammopathy of undetermined significance",D,2_103
104,"A 65-year-old woman comes to the office because of a 6-month history of progressive shortness of breath and a 1-year history of nonproductive cough. Initially, the shortness of breath occurred only with exertion but now occurs at rest. It does not worsen when she lies down but is still present. Her symptoms have limited her ability to travel internationally with the Peace Corps. She has not had chest pain, fever, chills, or blood-tinged sputum. She has hypertension, type 2 diabetes mellitus, and major depressive disorder. Medications are amlodipine, lisinopril, insulin glargine, and sertraline. She has smoked one pack of cigarettes daily for 50 years. She drinks one glass of wine on special occasions. Temperature is 37.2C (99.0F), pulse is 77/min, respirations are 16/min, and blood pressure is 132/82 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. There is no jugular venous distention. On pulmonary examination, end-expiratory wheezes are heard; there is a prolonged expiratory phase. Heart sounds are distant. Which of the following is the most appropriate next step in diagnosis? ","A: CT scan of the chest, B: Echocardiography, C: Exercise stress testing, D: PPD skin testing and chest x-ray, E: Pulmonary function testing ",E,2_104
106,"A 56-year-old man comes to the clinic with his wife because of a 6-month history of restlessness while sleeping. The wife says he motions as if he were throwing or kicking a ball and sometimes punches the pillow during the night; he has hit her twice. Recently, he began talking in his sleep and yelling expletives. Occasionally, he seems to be Òacting outÓ a dream; twice, he has awakened and could tell his wife what the dream was about. Otherwise, he is unaware of these episodes and feels well rested in the mornings. He has a history of constipation treated with polyethylene glycol. He takes no other medications. Vital signs are within normal limits. Examination shows no abnormalities. This patient is at greatest risk for developing which of the following? ","A: Alzheimer disease, B: Amyotrophic lateral sclerosis, C: Cerebral infarction, D: Narcolepsy, E: Parkinson disease ",E,2_106
107,"A 77-year-old woman is brought to the emergency department by her son because of a 3-day history of pain in her right wrist. The patient has advanced dementia, Alzheimer type, and is unable to provide her medical history. She is completely dependent on her son, with whom she lives and who is her only caregiver. The son says he is unaware of any trauma to the patient's wrist. The son says the patient has no other history of serious illness. Her only medication is memantine. She is nonverbal and has a flat affect. She appears unkempt and to have poor hygiene. Temperature is 36.7C (98.1F), pulse is 82/min and regular, respirations are 18/min, and blood pressure is 150/90 mm Hg. The patient moans when the physician touches her right wrist. Examination shows multiple bruises over both forearms and wrists. The remainder of the examination shows no abnormalities. X-ray of the right wrist shows a distal radial fracture; the fracture is treated with cast immobilization. Which of the following is the most appropriate next step in management? ","A: Admit the patient to the hospital for further evaluation, B: Arrange for placement of the patient in a nursing care facility,  C: Contact adult protective services, D: Provide phone numbers of nearby nursing care facilities, E: Recommend further evaluation at a clinic specializing in geriatric patients",C,2_107
108,"A 27-year-old man comes to the emergency department because of a 4-week history of progressive shortness of breath and swelling of the lower extremities. During this time, he also has had shortness of breath during the night while lying down. He also has a 6-month history of intermittent, moderate substernal chest pain and pressure while exercising. He has not had syncope. He has no history of serious illness and takes no medications. Temperature is 37.0C (98.6F), pulse is 110/min, respirations are 24/min, and blood pressure is 145/92 mm Hg. Examination shows severe, diffuse gingivitis. Crackles are heard halfway up the posterior lung bases bilaterally. On cardiac examination, a prominent S3 is heard. There is 3+ pitting edema of the lower extremities. ECG shows sinus tachycardia. Which of the following is the most likely substance used? ","A: Cocaine, B: Heroin, C: Methadone, D: Methamphetamine; E: Toluene ",D,2_108
109,"A 39-year-old man comes to the office because of a 3-month history of episodes of headaches, palpitations, and sweating. The episodes occur two to three times monthly. He has hypertension treated with a calcium-channel blocking agent and an ACE inhibitor. Blood pressure is 166/112 mm Hg. Examination shows no other abnormalities. CT scan of the abdomen shows a 4-cm left adrenal mass. Which of the following is the most appropriate next step in management? ","A: 24-Hour urine collection for measurement of vanillylmandelic acid and 5-hydroxyindoleacetic acid, B: Adrenal venous sampling, C: Laparoscopic left adrenalectomy and right adrenal biopsy, D: Measurement of plasma and urine catecholamine and metabolite concentrations, E: Transsphenoidal hypophysectomy ",D,2_109
114,"A 27-year-old woman comes to the office because of a 3-day history of constant mild pain in her left lower abdomen. Vigorous movement makes the pain worse. She has not had nausea. She is otherwise healthy and takes no medications. Menses occur at regular 28-day intervals and last 4 to 6 days. Her last menstrual period was 3 weeks ago. She is sexually active with one male partner, and they use condoms inconsistently. Temperature is 36.7C (98.0F), pulse is 80/min, respirations are 18/min, and blood pressure is 104/60 mm Hg. The abdomen is flat and soft with voluntary guarding of the left lower quadrant. Bowel sounds are normal. Pelvic examination shows tender fullness of the left adnexa. Urine pregnancy test is negative. Ultrasonography shows a normal uterus with a 3 x 4-cm left adnexal cyst and a small amount of free fluid in the pelvis. Which of the following is the most appropriate next step in management? ","A: Antibiotic therapy, B: Appendectomy, C: CT scan-guided aspiration, D: Laparoscopy, E: Observation only ",E,2_114
115,"A 60-year-old woman comes to the office for a health maintenance examination. She says she feels well. She has no history of serious illness and takes no medications. Vital signs are within normal limits. Observation of the tympanic membranes is limited because of cerumen filling both external auditory canals. The external ears appear normal. No other abnormalities are noted. On questioning, she says she hears well. Which of the following is the most appropriate next step in management? ","A: Irrigation of the ear canals by the physician, B: Manual removal of the cerumen by an otorhinolaryngologist, C: Recommendation for daily use of cotton swabs, D: Recommendation for use of a ceruminolytic agent, E: No further management is indicated at this time ",E,2_115
117,"A 77-year-old man is brought to the emergency department because of a 1-hour history of severe, constant abdominal pain and dizziness. He has hypertension well controlled with hydrochlorothiazide. He has smoked two packs of cigarettes daily for 60 years. He is 175 cm (5 ft 9 in) tall and weighs 113 kg (250 lb); BMI is 37 kg/m2. Temperature is 37.0C (98.6F), pulse is 120/min, respirations are 25/min, and blood pressure is 80/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 93%. He appears uncomfortable. Abdominal examination shows mild distention; bowel sounds are decreased. Groin pulses are 1+. Dorsalis pedis pulses are not palpable. Hematocrit is 37% and leukocyte count is 10,000/mm3. Serum electrolyte concentrations, liver function tests, and amylase activity are within the reference ranges. An x-ray of the abdomen is shown. Which of the following is the most likely diagnosis? ","A: Acute pancreatitis, B: Mesenteric ischemia, C: Perforated duodenal ulcer, D: Ruptured abdominal aortic aneurysm, E: Small-bowel obstruction ",D,2_117
118,"A 1-week-old male newborn is evaluated in the hospital nursery 4 days after undergoing operative repair of a myelomeningocele. He was born at 37 weeks' gestation via uncomplicated, spontaneous vaginal delivery to an 18-year-old primigravid woman. The defect was diagnosed prenatally by ultrasonography, and the repair was done 72 hours after delivery. He is at the 5th percentile for length, 10th percentile for weight, and 25th percentile for head circumference. Temperature is 36.9C (98.4F), pulse is 138/min, and respirations are 42/min. Pulse oximetry on room air shows an oxygen saturation of 98%. The newborn appears comfortable. Physical examination shows a soft, flat, anterior fontanel. Red reflexes are normal. Moro reflex is symmetric in the upper extremities; there is no movement in the lower extremities. Ultrasonography of the brain shows mildly enlarged ventricles. Which of the following is the most likely associated finding in this patient? ","A: Congenital heart malformation, B: Cryptorchidism, C: Impaired folate metabolism, D: Neurogenic bladder, E: Severe cognitive impairment ",D,2_118
120," A 42-year-old woman comes to the office because of a 2-week history of sore throat and fullness in her neck. She has no history of serious illness and takes no medications. She appears anxious. Temperature is 37.8C (100.0F), pulse is 102/min, respirations are 22/min, and blood pressure is 146/82 mm Hg. The oropharynx is clear, and there are no exudates. There is palpable fullness and tenderness of the anterior aspect of the neck. There is no lymphadenopathy. Lungs are clear to auscultation. Results of a complete blood count are within the reference ranges. Chest x-ray shows no abnormalities. Which of the following is the most likely diagnosis?","A: Acute mononucleosis, B: Gastroesophageal reflux disease, C: Laryngitis, D: Subacute thyroiditis, E: Tracheitis ",D,2_120
1,"A 30-year-old woman comes to the office because of a 3-day history of joint pain in her hands and a rash over her chest and arms that is slowly resolving. The joint pain in her hands has persisted and is exacerbated by writing or typing. She rates the pain as a 3 on a 10-point scale. The patient is a preschool teacher and reports that one of her students had a facial rash and fever 1 week prior to the development of her symptoms. The patient's medical history is unremarkable and her only medication is an oral contraceptive. She is in a monogamous relationship with her husband. She does not smoke cigarettes, drink alcoholic beverages, or use illicit drugs. BMI is 22 kg/m2. Vital signs are temperature 38.1C (100.5F), pulse 94/min, respirations 18/min, and blood pressure 107/58 mm Hg. Physical examination discloses a blanching, erythematous, papular rash on the anterior chest and proximal upper extremities. The first and second metacarpophalangeal joints of both hands are tender and swollen. The wrist joints also are tender to palpation but there is minimal swelling. Which of the following microorganisms is most likely to have caused this patient's symptoms?","A: Adenovirus, B: Borrelia burgdorferi, C: Coxsackievirus, D: Ehrlichia chaffeensis, E: Parvovirus B19 ",E,3_1
3,"A 12-year-old girl is brought to the emergency department by her mother because of a 1-week history of worsening swelling in her legs. The patient also noticed blood in her urine yesterday. The bleeding has not recurred. She had an upper respiratory tract infection and sore throat 1 week ago that caused her to miss several days of school. Medical history is otherwise unremarkable and she takes no routine medications. Menarche has not yet occurred. BMI is 20 kg/m2. Vital signs are temperature 37.0C (98.6F), pulse 78/min, respirations 12/min, and blood pressure 136/84 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 100%. Physical examination discloses erythema of the posterior pharynx, mild cervical lymphadenopathy, and 3+ pitting edema to both knees. Results of urinalysis are shown: 

Protein  150 mg/dL  
Blood  Positive  
Leukocyte esterase  Positive  
Nitrite Negative  
WBCs  5−10/hpf  
RBCs  10−25/hpf  
 Casts  1−2/lpf

Results of which of the following labor atory studies are most likely to be abnormal in this patient?    ","A: Bleeding time, B: Erythrocyte count, C: Serum concentration of C3, D: Serum IgA concen tration, E: Serum rheumatoid factor assay  
 ",C,3_3
4,"A 45-year-old woman comes to the office because she has noticed during the past several months that her fingernails have become white, increasingly brittle, and seem to lift off her nail beds easily. During this time, she also has had episodes of feeling warm and perspiring. Medical history is remarkable for intravenous drug use 25 years ago. The patient takes only a multivitamin. Last menstrual period was 3 weeks ago. She appears thin and mildly anxious. She is 170 cm (5 ft 7 in) tall and weighs 48.5 kg (107 lb); BMI is 17 kg/m2. Vital signs are temperature 37.0C (98.6F), pulse 106/min, respirations 20/min, and blood pressure 136/92 mm Hg. Physical examination of the hands shows a white discoloration of the nail beds. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis? ","A: Chronic obstructive pulmonary disease, B: Diabetes mellitus, C: Endocarditis, D: Hyperthyroidism, E: Perimenopause ",D,3_4
5,"A 30-year-old woman, who has been a patient in the practice for several years, comes to the office to ask for advice. Her husband has a family history of retinitis pigmentosa and she wants to know the probability of her 4-year-old son developing the disease. A family pedigree is shown. Which of the following is the most appropriate statement to the patient? ","A: A geneticist should be consulted to answer her question, B: Her son must be tested to determine if he is affected, C: Her son will not be affected, D: She does not need to know, since there is nothing she can do if her son does have the condition, E: There is a 100% chance that her son will be affected ",C,3_5
6,"A 48-year-old man comes to the clinic because of a 10-year history of recurrent, intrusive thoughts that his house will be broken into and damaged by criminals or accidentally destroyed by a fire when he is not home. These thoughts have worsened during the past 2 months. He reports now spending 4 hours daily checking that the doors and windows are closed and locked and that the stove and oven are turned off; he previously spent 2 hours daily doing these tasks. He says he cannot keep a job or leave the house very much because of the amount of time he spends checking these things. He has no other history of serious illness and takes no medications. Physical examination shows no abnormalities. On mental status examination, he has an anxious mood and a sad affect. He is fully oriented. He is not having hallucinations or delusions. The most effective pharmacotherapy for this patient is an agent that targets which of the following neurotransmitters?","A: γ-Aminobutyric acid, B: Dopamine, C: Glutamate, D: Norepinephrine, E: Serotonin  ",E,3_6
7,"Researchers from a large neurology center are conducting a study to examine the relationship between stress levels and fibromyalgia-related pain. Two hundred patients with fibromyalgia are randomly selected from the center for participation in the study. During recruitment, a baseline interview is conducted with each participant to obtain sociodemographic and personality data. Participants are given a study-provided portable digital device and asked to maintain a daily schedule of their fibromyalgia pain and stress levels for 30 days using two well-validated and reliable self-reporting scales. Results show a positive and statistically significant relationship between stress levels and fibromyalgia-related pain (P<.05). Similarly, statistically significant relationships were found between Type A personality participants and increased stress levels (P<.01), as well as increased levels of fibromyalgia-related pain (P<.005). Which of the following is the most appropriate method to control for the potential confounding effect of patients with a Type A personality? ","A: Matching, B: Post hoc analysis, C: Randomization, D: Standardization, E: Stratification ",E,3_7
8,"A 12-year-old boy with sickle cell disease and type 1 diabetes mellitus is brought to the office by his mother for an initial visit. The family recently moved to the area. Type 1 diabetes mellitus was diagnosed in the patient 6 years ago. Since that time, he has been treated with insulin and dietary management. His insulin regimen has not changed during the past year; however, his mother says he has been only marginally compliant with his insulin and dietary regimens. His diabetic diary shows home fingerstick blood glucose concentrations ranging from 140–200 mg/dL during the past 3 months. He admits to checking his glucose concentrations infrequently. Measurement of hemoglobin A1c obtained last week was 5.4%. The patient's vital signs are temperature 36.8C (98.2F), pulse 72/min, respirations 24/min, and blood pressure 110/64 mm Hg. Physical examination shows no abnormalities. Which of the following is the most likely explanation for the discrepancy between the patient's home fingerstick blood glucose concentrations and his hemoglobin A1c? ","A: He has iron deficiency anemia, B: His daily glucose control is better than recorded, C: His glucometer is reading falsely high and should be replaced, D: His hemoglobin A1c is likely a result of laboratory error and should be repeated, E: His sickle cell disease is affecting his hemoglobin A 1c 
 ",E,3_8
10,"A 47-year-old man is admitted to the intensive care unit because of lower gastrointestinal bleeding. He has a history of alcohol-induced cirrhosis. Physical examination shows marked ascites and splenomegaly; the spleen tip is palpated 4 cm below the left costal margin. Results of laboratory studies are shown: 
Serum   
 Creatinine  1.5 mg/dL   
Blood
  Hematocrit 29% 
  Hemoglobin  9.7 g/dL  
  Platelet count  105,000/mm3 
  PT 25 seconds     
  INR 2.5 

Which of the following mechanisms most increases this patient’s risk for bleeding?  ","A: Decreased production of factor VII, B: Defective platelet aggregation, C: Deficiency of thrombopoietin, D: Inhibition of vitamin K epoxide reductase, E: Splenic sequestration  ",A,3_10
11,"A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy. Medical history is otherwise unremarkable and the patient takes no medications. Family history is significant for stable angina in her father and rheumatoid arthritis in her mother. The patient has a 102-year-old grandmother who resides in a nursing care facility and has Parkinson disease. The patient does not smoke cigarettes or drink alcoholic beverages. During the interview, her face is expressionless. She has a flexed posture and is unable to open her mouth wide. She is 173 cm (5 ft 8 in) tall and weighs 81 kg (179 lb); BMI is 27 kg/m2. Vital signs are normal. Physical examination discloses thickening and hardening of the skin over the dorsum of the hands and forearms, as well as mild kyphosis. Strength testing shows no abnormalities; muscle tension is normal. Passive and active range of motion of the upper extremities is full. Gait is slow and deliberate. The remainder of the physical examination discloses no abnormalities. Prior to surgery, further evaluation is indicated for which of the following conditions in this patient? ","A: Osteitis deformans (Paget disease), B: Parkinson disease, C: Progressive supranuclear palsy, D: Sarcopenia, E: Systemic sclerosis (scleroderma)   ",E,3_11
