Term,Expanded_Terms_Frequency
"respiratory failure: multifactorial from pulmonary
   edema/acute-on-chronic congestive heart failure (question systolic versus diastolic) and likely
   aspiration/hospital-acquired pneumonia",1
fevers: likely due to aspiration pneumonia,1
hypernatremia: likely from poor free water intake,1
end-stage renal disease: status post failed transplant with focal segmental glomerulosclerosis but not rejection,1
anterior st-elevation myocardial infarction,1
history of hypertension.,1
continuous bladder irrigation,1
"altered mental status: likely multifactorial, related to hypoglycemia and urinary tract infection",1
urinary tract infection/leukocytosis/elevated lactate,1
macular degeneration,1
digoxin toxicity,1
"neuropathic pain, feet",1
# congestive heart failure:,1
# diabetes,1
mental status change,1
number cirrhosis,1
new atrial fibrillation - developed in setting of sepsis,1
lower gastrointestinal bleeding,1
hyperbilirubinemia / elevated transaminases,1
hyperthyroidism:,1
septic shock:  the most likely source is urinary tract infection,1
# diarrhea:,1
gram-positive cocci in bottles,1
"sepsis: given white blood cell count of 3.3, hypotension, tachycardia, and tachypnea.
   possible source includes pulmonary source of infection",1
pneumonia.,1
hodgkin's lymphoma,1
1)       left upper extremity deep vein thrombosis:,1
3)       stage iii b colon cancer:,1
4)       chronic normocytic anemia,1
"hypotension: likely vascular permeability and decreased systemic vascular resistance from sepsis,",1
"prerenal acute renal failure risk, injury, failure, loss, end-stage renal disease class i",1
?aspiration pneumonia vs. enteric bacterial translocation,1
hypoxic and hypercarbic respiratory failure,1
number metastatic prostate adenocarcinoma,1
status post fall:,1
ventricular escape,1
schizoaffective disorder:,1
cough/shortness of breath,1
lung cancer:,1
urosepsis: proteus,1
atrial fibrillation rapid ventricular rate,1
"fever: possible etiologies include neutropenia, pulmonary infection
   (question viral infection on computed tomography ground-glass opacity), typhlitis, diverticulitis (both seen on
   computed tomography abdomen), drug fever, leukemia",1
thrombocytopenia:  secondary to recent induction chemotherapy,1
anemia: likely secondary to leukemia and recent chemotherapy,1
gram-positive cocci bacteremia,1
abscess,1
"hemodialysis line
   infection",1
"differential includes
   bacterial meningitis, viral meningitis, toxoplasmosis (especially given
   history of toxoplasmosis), bacterial abscess, cryptococcal infection, central nervous system
   lymphoma",1
history of seizure,1
mucous plugging from secretions,1
left lower lobe pneumonia,1
acute tubular necrosis,1
alcohol intoxication,1
midline protrusion of the intervertebral disk,1
"hypoxic respiratory distress:  likely from pneumonia with  a possible
   component of congestive heart failure",1
atrial fibrilation,1
diffuse ulceration from the esophagus through the duodenum,1
rectal cancer,1
"concern for infection given white blood cell count, fever, and elevated lactate. likely pulmonary source",1
"respiratory distress:
   most likely multifactorial.  patient with known obstructive sleep
   apnea, asthma, obesity hypoventilation syndrome as well as diastolic
   heart failure",1
respiratory failure: likely represents worsening chronic obstructive pulmonary disease,1
"central nervous system listerial infection, seizures, hepatic encephalopathy",1
meningitis,1
"hospital-acquired pneumonia, large effusion and
   diastolic congestive heart failure",1
rheumatoid arthritis,1
shock:  likely due to sepsis/hemorrhagic pancreatitis,1
sepsis. presumed urosepsis,1
"hypoxia. etiology possibly due to aspiration, infectious pneumonia, or
   pulmonary edema",1
schizophrenia and dementia,1
congestive heart failure exacerbation,1
acute on chronic systolic and diastolic congestive heart failure,1
respiratory distress: likely [**3-5**] multifocal pneumonia,1
anemia: has history of sideroblastic anemia and myelodysplastic syndrome,1
"neutropenic fever.
   -pneumonia",1
"altered mental status: likely [**3-6**] hyponatremia, hepatorenal derangement, and hepatic encephalopathy",1
hypervolemic hyponatremia,1
placenta accreta/percreta status post cesarean section/hysterectomy,1
volume depletion,1
coronary artery disease: patient with coronary artery disease status post coronary artery bypass grafting times 3,1
suicidal ideation,1
metastatic cancer,1
acute subarachnoid hemorrhage,1
septic shock likely [**1-20**] endocarditis,1
acute renal failure: likely due to sepsis,1
decompensated liver disease,1
ethanol cirrhosis,1
post-abdominal surgery,1
crohns flare,1
hypotension: multiple possibilities including infection (sepsis),1
fever: likely gastrointestinal source,1
crohns,1
ileus versus partial small bowel obstruction,1
peripheral vascular disease (peripheral vascular disease),1
"hypoxemia: likely secondary to aspiration pneumonia versus
   pneumonitis",1
"septic shock
   presumably urinary source",1
aortic valve replacement/complete heart block pacer dependent,1
pneumonia and acute respiratory distress syndrome,1
septic or distributive shock,1
acute renal failure: likely acute tubular necrosis,1
transaminitis: likely secondary to shock liver,1
"septic shock  
presumed secondary to duodenal perforation",1
hemicolectomy and duodenal perforation,1
acute myeloid leukemia/leukemia cutis,1
anterior wall st-elevation myocardial infarction,1
pericardial effusion with tamponade,1
"ethanol cirrhosis, hepatitis c,",1
right heart failure,1
end-stage cirrhosis of transplanted liver,1
sepsis - most likely [**2-26**] thumb abscess/septic arthritis,1
left knee septic arthritis status post left knee replacement,1
thumb abscess,1
severe persistent asthma,1
heroin abuse,1
liver mass,1
deconditioned,1
systemic inflammatory response syndrome/sepsis,1
likely source genitourinary,1
"proteus and
   enterococcus",1
"abdominal pain, nausea, vomiting, and diarrhea
   differential diagnosis
 infectious versus ischemic",1
"respiratory
   alkalosis",1
rhabdomyolysis/acute renal failure,1
"pulseless electrical activity arrest: his arrest was felt to likely be a combination of
   hyperkalemia, hypoxia, hypercarbia, and/or acidemia.",1
uvula swelling,1
atrioventricular nodal reentrant tachycardia,1
aspiration pneumonitis versus hospital-acquired pneumonia,1
severe tracheobronchial malacia,1
status post tumor resection,1
"crohn's, short-gut",1
bright red blood per rectum: likely lower gastrointestinal bleed,1
choledocholithiasis,1
sepsis - acute tubular necrosis,1
uremic,1
subarachnoid hemorrhage/subdural hematoma.,1
"methicillin-resistant staphylococcus aureus/group c streptococcus
   pneumonia",1
status post traumatic spine injury,1
pulseless electrical activity arrest: etiology is likely aspiration pneumonia,1
advanced life support,1
hepatomegaly/anasarca/abdominal pain,1
"hepatic encephalopathy, uremia",1
hypotension/shock.  most likely septic shock,1
"hypoxic/hypercarbic respiratory failure: likely related to
   bronchoscopy",1
chronic systoic heart failure,1
bipolar disorder and post-traumatic stress disorder,1
non-epileptic psychogenic events,1
respiratory failure/chronic obstructive pulmonary disease,1
"right ventricular hypertrophy and severe pulmonary
   hypertension",1
necrotic esophageal fistula,1
multifocal chronic glomerulonephritis,1
mediastinitis from necrotic esophagus,1
adenocarcinoma of the esophagus,1
"hypoxia: multifactorial
 pulmonary edema, acute respiratory distress syndrome, pneumonia",1
possible aspiration pneumonitis,1
gastaut,1
cecal mass,1
low grade b cell lymphoma,1
influenza a,1
hypophosphatemia,1
"dizziness/syncope includes orthostatic hypotension, vasovagal syncope, cardiogenic syncope, and psychogenic syncope",1
peripheral vascular disease: status post right lower extremity bypass graft and wound infection,1
"respiratory failure: complex etiology including acute respiratory distress syndrome, parainfluenza type 3 pneumonia, possible altered mental status, possible pulmonary embolism",1
sepsis/ escherichia coli bacteremia,1
myeloma,1
shortness of breath/hypoxemia,1
likely pneumonia versus reactive airway disease,1
respiratory distress--most likely due to flash pulmonary edema due to severe aortic stenosis,1
myocardial ischemia,1
pulmonary embolus,1
"acute change in baseline renal function associated with
   significant uremia",1
high blood pressure,1
idiopathic pulmonary fibrosis,1
respiratory failure: multilobar pneumonia and chronic obstructive pulmonary disease,1
shock: septic from pneumonia,1
influenza,1
"severe pancreatitis complicated by acute respiratory distress syndrome and requiring
   splenectomy and distal pancreatectomy",1
"shock - wide differential includes septic, cardiogenic",1
shock liver,1
altered mental status:  [**month (only) 11**] have been related to diabetic ketoacidosis,1
tachycardia:  likely related to his pulmonary thrombus,1
metastatic hepatocellular carcinoma,1
"hypotension,",1
"portal
   vein thrombosis.",1
history vancomycin-resistant enterococcus,1
transient ischemic attack,1
hypoxemia- resolved,1
cocaine abuse,1
bleeding varix,1
cryptogenic cirrhosis,1
acute refractory upper gastrointestinal bleeding,1
altered mental status: likely related with hepatic encephalopathy,1
cirrhosis: likely secondary to alcohol and hepatitis c,1
"diarrhea- etiology likely  [**2-6**] to recurrence/relapse of clostridioides difficile
   colitis",1
"acute
   intraabdominal process",1
sigmoid colectomy,1
cholecystectomy/umbilical hernia repair,1
marrow hypo-production from medication effect versus consumptive process,1
multifocal pneumonia/respiratory failure,1
atrial fibrillation / atrial flutter,1
severe chronic obstructive pulmonary disease,1
mitral valve endocarditis,1
shock not otherwise specified:  likely [**2-28**] to right ventricle failure (chronic) and sub-optimally treated pulmonary hypertension,1
right total knee replacement with chronic infection,1
hypoxia respiratory failure,1
interstitial lung disease,1
"acute diastolic congestive heart failure
   versus chronic obstructive pulmonary disease exacerbation",1
moderate aortic stenosis,1
"pneumonia, influenza or
   possibly pneumocystis pneumonia given his head injury",1
"mild
   pancreatitis",1
hypercarbia,1
severe restrictive lung disease from poliomyelitis,1
gastrointestinal infection,1
"status epilepticus in the
   setting of a fever.  differential included meningitis",1
positive troponin/non-st-elevation myocardial infarction,1
hypoxia/ mucus plugging,1
metastastic renal cancer,1
right hip metastasis,1
cocaine overdose,1
right lower lobe infiltrate concerning for aspiration,1
toxic metabolic encephalopathy,1
acute respiratory distress syndrome/hypercarbic respiratory failure,1
"aspiration
   pneumonitis, viral or atypical pneumonia, or inhalation in the
   environment",1
acute on chronic diastolic congestive heart failure,1
differential diagnosis includes sepsis,1
and most likely dehydration,1
parkinson's disease,1
hospital-acquired pneumonia/aspiration pneumonia/sepsis,1
"urosepsis: escherichia coli bacteremia, and escherichia coli/providencia urinary tract infection.",1
sepsis with septic emboli,1
head and neck cancer,1
acute on chronic diastolic heart failure,1
severe sepsis,1
most likely sources are urine and clostridioides difficile,1
acute myocardial infarction,1
diabetic ketoacidosis (diabetic ketoacidosis),1
bronchiolitis obliterans,1
non-hodgkin lymphoma status post allogeneic bone marrow transplant complicated by graft-versus-host disease,1
bacterial endocarditis,1
congestive heart failure/hypertension,1
mechanical aortic valve replacement,1
ischemic bowel,1
left lower lobe mass,1
anemia/thrombocytopenia,1
metastatic breast cancer to lung and brain,1
peritonitis,1
"dyspnea on exertion/hypoxia: likely multifactorial with congestive heart failure, chronic obstructive pulmonary disease, possible left lower lobe infiltrate",1
flash pulmonary edema,1
acute decompensated congestive heart failure,1
severe pulmonary hypertension,1
severe sarcoidosis,1
diabetes type 2,1
hypoxia:  patient with evidence of volume overload,1
mucus plugging,1
clostridioides difficile colitis,1
"fever, sinus tachycardia:  most likely infectious in etiology",1
hypoxia: most likely due to volume overload,1
acquired immunodeficiency syndrome,1
myopericarditis,1
"multifactorial shock
 now off pressors",1
"attributed to sepsis (with
   likely sources being nonhealing skin wounds and pneumonia",1
peripheral vascular disease with bilateral lower extremity cellulitis/ulcers,1
deep vein thrombosis,1
airway compromise/anterior neck collection: history of subglottic stenosis,1
congestive heart failure/cardiomyopathy,1
atrial fibrillation/cerebrovascular accident,1
anemia: patient with drop in hematocrit status post debulking of necrotic metastases,1
ovarian cancer,1
"pericardial effusion: possible etiologies include malignant (given
   history of pancreatic cancer), infectious (viral versus tuberculosis), or idiopathic",1
"transaminitis: elevated transaminases, lactate dehydrogenase concerning for medication toxicity (amiodarone) versus viral etiology versus shock liver",1
hypoxic respiratory failure: etiology acute respiratory distress syndrome [**1-13**] flu.,1
right ankle fracture status post open reduction and internal fixation,1
bradycardia from likely beta blocker or calcium channel blocker toxicity,1
gastrointestinal bleeding-likely secondary to recurrence of cancer,1
"soft tissue mass causing renal
   obstruction and hydronephrosis",1
metastatic cancer- history of colon and breast cancer,1
diabetic ketoacidosis and newly diagnosed diabetes,1
lactic acidosis,1
status post open reduction and internal fixation,1
acute on chronic systolic congestive heart failure: secondary to ischemic cardiomyopathy,1
"hypotension
   concerning for sepsis without a clear source",1
transaminitis: acute viral hepatitis is a possibility,1
possible high output right heart failure from prolonged anemia,1
methicillin-resistant staphylococcus aureus pneumonia,1
sinusisitis versus mastoiditis,1
metastatic breast cancer status post craniotomy,1
rhythm - patient with atrial fibrillation/flutter with rapid ventricular response,1
respiratory failure - patient with acute pulmonary edema,1
subclinical thyrotoxicosis or thyroid stimulating hormone artifact,1
embolism,1
alzheimer's disease,1
hypotensive: differential diagnosis sepsis versus hypovolemia versus cardiogenic shock,1
gastrointestinal bleed/elevated international normalized ratio,1
atrial fibrillation status post cerebrovascular accident,1
neurologic deterioration:,1
respiratory failure: [**1-4**] neuromuscular weakness and overlying pneumonia,1
systemic lupus erythematosus (systemic lupus erythematosus),1
colostomy,1
oligura,1
acute tubular necrosis secondary to hypotension,1
chronic diastolic heart failure,1
ventricular tachycardia: likely result of scarring from ebstein anomaly/repairs,1
possible drug fever given persistent fever with no positive culture data,1
"transaminitis: multifactorial from shock liver, congestive heart failure and amiodarone",1
labial cellulitis/abscess,1
mantle cell lymphoma,1
"dens fracture, nondisplaced c1/c2/c6 fracture, left c3 transverse process fracture",1
facial laceration/right lower eye lid laceration,1
idiopathic pneumonitis,1
systemic inflammatory response syndrome,1
liver failure: alcoholic hepatitis and cirrhosis,1
respiratory failure:  known hospital-acquired pneumonia,1
history of lung cancer (non-small cell lung cancer),1
dyspnea: differential includes chronic obstructive pulmonary disease exacerbation,1
hypercapnic hypoxemic respiratory failure,1
methicillin-sensitive staphylococcus aureus pneumonia,1
sigmoid abscess,1
multi-organism bacteremia:,1
pauci-immune pulmonary vasculitis,1
pneumonia versus pulmonary edema,1
atelectasis with small bilateral pulmonary effusions,1
status post st-elevation myocardial infarction,1
appears to be in failure,1
postoperative ileus,1
"shock: with components of sepsis and hypovolemia. has known lingular
   pneumonia",1
neutropenic fever/sepsis,1
aplastic anemia,1
lymphoplastmocytic lymphoma,1
cardiac arrest (pulseless electrical activity or question bradycardic),1
altered mental status/unresponsiveness most likely hypoxic brain injury,1
respiratory distress: secondary to chronic obstructive pulmonary disease exacerbation,1
"right lower lobe opacity possible effusion, collapse, pneumonia",1
myelodysplastic syndromes,1
clostridium difficile colitis,1
cryptococcal meningitis,1
hypoxia. meets criteria for acute respiratory distress syndrome,1
"heart failure secondary to ischemic event or
   pulmonary infection",1
bradycardia/heart block: new weinkeboch,1
"hypercarbic respiratory failure - likely multifactorial [**1-26**] to graft versus host disease, bronchiolitis obliterans",1
"non-hodgkin's lymphoma status post allogeneic bone marrow transplant, graft versus host disease",1
atrial fibrillation with rapid ventricular response.,1
unresponsive episode:,1
"hypoxia
   multifactorial: combination of post-operative atelectasis, emphysema, and pneumonia",1
bowel ileus,1
scrotal hematoma,1
acetabular fracture,1
post-operative atrial fibrillation,1
hematuria:,1
hypoxia: likely secondary to pneumonia,1
"respiratory failure: etiology likely multifactorial [**12-27**] acute respiratory distress syndrome status post
   induction chemotherapy, volume overload",1
central nervous system lymphoma,1
vascular dementia,1
inflammation of the bile duct,1
cerebral palsy,1
bandemia: suggestive of infection in setting of lactic acidosis,1
right hip wound growing streptococcus arginosus and secondary bacteremia,1
decubitous ulcer,1
paraplegia,1
superior vena cava thrombosis,1
asystolic/pulseless electrical activity arrest,1
insulin once daily,1
altered mental status. primarily due to lyme encephalitis,1
hypotension: etiology hypovolemia [**1-17**] over ultrafiltration versus sepsis,1
plasma cell dyscrasia,1
hypoxia:  most likely chronic obstructive pulmonary disease flare,1
decompensated congestive heart failure.,1
sinus node dysfunction,1
acute on chronic systolic and diastolic heart failure,1
hyperthyroid,1
fungating mass,1
neutropenic fever,1
meningitis/central nervous system source,1
anemia/thrombocytopenia/neutropenia: likely from recent chemotherapy,1
crohn's disease,1
anoxic brain injury/seizures,1
pseudocyst,1
superior mesenteric vein thrombus,1
orthostatic hypotension,1
sepsis: source likely pneumonia and methicillin-resistant staphylococcus aureus bacteremia,1
syncope and hypotension,1
ejection fraction 20% with severe left ventricular dilation and severe mitral regurgitation,1
toxic/metabolic encephalopathy from liver failure and/or uremia,1
hepatic failure:,1
oliguric acute renal failure:,1
follicular lymphoma,1
sepsis-   source most likely to be from urinary tract,1
hepatitis b (chronic),1
"shortness of breath, hypoxia",1
acute on chronic kidney disease,1
myoclonic jerks may be manifestation of hypercarbia,1
subtotal colectomy,1
ethanol hepatitis,1
wernicke-korsakoff,1
chronic liver disease,1
"possible etiologies include pneumonia, transudated gastrointestinal flora, foot
   source",1
vasculopathy,1
methicillin-sensitive staphylococcus aureus bacteremia:,1
non-ischemic cardiomyopathy: acutely decompensated,1
escherichia coli urinary tract infection,1
mitral/tricuspid regurgitation,1
cryptosporidium,1
hypercarbic respiratory distress,1
chronic obstructive pulmonary disease exacerbation and multilobar pneumonia,1
respiratory distress/volume overload,1
anemia/,1
"oliguric renal failure secondary to hepatic renal
   syndrome",1
hepatitis c cirrhosis with ascites,1
hypotension:  cardiogenic versus hypovolemic versus distributive,1
likely shock liver with transaminitis,1
likely upper gastrointestinal source in setting of supra-therapeutic international normalized ratio,1
acute renal failure: likely acute tubular necrosis due to hypotension,1
"hypoxic respiratory failure:
   likely multifactorial, from post-obstructive pneumonia, pneumothorax, and underlying
   lung disease (chronic obstructive pulmonary disease)",1
pneumothorax,1
metastatic prostate cancer,1
liver metastases,1
congestive heart failure and new mitral regurgitation,1
right hip bleed.,1
hip surgery,1
"most likely etiology is acute pulmonary edema although
   exacerbation of her underlying chronic obstructive pulmonary disease may also be worsening",1
source to be tunnelled catheter line,1
methicillin-sensitive staphylococcus aureus,1
back pain,1
non-ischemic cardiomyopathy,1
obstructive sleep apnea/tracheobronchial malacia,1
neck swelling status post fistula takedown,1
subcutaneous emphysema,1
recurrent aspiration pneumonia/pneumonitis,1
"fever: most likely infectious with either pulmonary or urinary
   infection",1
diastolic dysfunction,1
decompensated heart failure/cardiogenic shock,1
mucous plugging and gram-negative rod pneumonia,1
methicillin-resistant staphylococcus aureus septic prosthetic joint,1
"hyponatremia: likely acute on chronic hyponatremia attributed to
   syndrome of inappropriate antidiuretic hormone secretion",1
chronic bronchitis,1
congestive heart failure: likely contribution of known aortic stenosis,1
